Year,Date,HomeTeam,AwayTeam,FTR,1H,1D,1A,2H,2D,2A,3H,3D,3A,4H,4D,4A,5H,5D,5A,6H,6D,6A
10,7/8/2010,Auxerre,Lorient,D,1.91,3.3,4.2,1.85,3.1,4.6,1.85,3.2,4.25,1.8,3.2,4.3,1.8,3.2,4,1.9,3.2,3.8
10,7/8/2010,Lens,Nancy,A,2.1,3.1,3.8,2.05,3.1,3.7,2.05,3,3.75,2.1,3.1,3.3,2,3,3.5,2.05,3,3.6
10,7/8/2010,Lyon,Monaco,D,1.44,4,8,1.4,4.1,8.25,1.4,4,8,1.45,3.7,7,1.4,3.75,7,1.4,4,7.5
10,7/8/2010,Marseille,Caen,A,1.25,5.5,12,1.25,5.8,9,1.2,6,12,1.25,5,10,1.2,5,11,1.2,5.75,11
10,7/8/2010,Nice,Valenciennes,D,2.1,3.1,3.75,2.05,3.2,3.6,2,3.1,3.75,2.1,3.1,3.3,2,3,3.4,2,3.1,3.6
10,7/8/2010,Paris SG,St Etienne,H,1.73,3.4,5.25,1.65,3.45,5.35,1.67,3.3,5.25,1.65,3.4,4.8,1.62,3.3,5,1.6,3.4,5.5
10,7/8/2010,Rennes,Lille,D,2.4,3.1,3.1,2.35,3.2,2.9,2.3,3.1,3,2.5,3,2.7,2.38,3,2.75,2.4,3.1,2.75
10,7/8/2010,Sochaux,Arles,H,1.8,3.25,5,1.7,3.35,5.15,1.65,3.4,5.25,1.7,3.4,4.5,1.62,3.3,5,1.6,3.4,5.5
10,7/8/2010,Toulouse,Brest,H,1.62,3.5,6,1.65,3.4,5.55,1.57,3.5,6,1.6,3.6,5,1.57,3.3,5.5,1.6,3.4,5.5
10,8/8/2010,Montpellier,Bordeaux,H,3.2,3,2.4,2.9,3.1,2.4,3,3,2.4,2.7,3,2.5,2.75,2.9,2.4,2.88,3,2.38
10,14/08/10,Arles,Lens,A,3,3,2.5,2.85,3,2.5,3,3,2.4,2.65,3.1,2.5,2.8,2.88,2.38,2.85,3,2.4
10,15/08/10,Bordeaux,Toulouse,A,1.6,3.6,6.25,1.55,3.7,6,1.6,3.5,5.75,1.65,3.4,4.8,1.53,3.5,5.5,1.53,3.6,6
10,14/08/10,Brest,Auxerre,D,3.1,2.9,2.5,3.1,3.1,2.3,2.9,3,2.45,2.6,3,2.6,2.8,2.88,2.38,2.85,3,2.4
10,15/08/10,Caen,Lyon,H,4.33,3.25,1.91,4.25,3.3,1.85,4.25,3.2,1.85,3.9,3.3,1.85,4,3.2,1.8,4.2,3.25,1.8
10,15/08/10,Lille,Paris SG,D,2.05,3.2,3.75,2.05,3.2,3.6,2,3.2,3.6,2.1,3.1,3.3,1.91,3.2,3.5,2,3.15,3.5
10,14/08/10,Lorient,Nice,A,1.95,3.2,4.2,1.88,3.3,4.1,1.9,3.2,4,1.9,3.2,3.8,1.83,3.2,3.75,1.9,3.2,3.8
10,14/08/10,Nancy,Rennes,A,2.6,3,2.88,2.5,3.1,2.8,2.55,3,2.8,2.4,3.1,2.8,2.4,2.9,2.75,2.5,3,2.75
10,14/08/10,St Etienne,Sochaux,H,2,3.1,4.2,1.95,3.1,4.1,1.95,3.1,4,2,3.2,3.4,1.91,3,3.75,1.95,3.1,3.75
10,14/08/10,Valenciennes,Marseille,H,3.75,3.25,2.05,3.8,3.2,1.95,3.75,3.2,1.95,3.7,3.3,1.9,3.75,3.2,1.83,4,3.2,1.85
10,17/08/10,Monaco,Montpellier,D,2.25,3.1,3.3,2.2,3.1,3.3,2.1,3.1,3.4,2.1,3.1,3.3,2,3,3.5,2.1,3.1,3.3
10,21/08/10,Auxerre,Valenciennes,D,2.2,3,3.6,2.15,3.1,3.4,2.15,3.1,3.4,2.1,3.1,3.3,1.8,3.2,4,2,3.1,3.6
10,21/08/10,Lens,Monaco,D,2.3,3,3.4,2.25,3.1,3.2,2.2,3.1,3.25,2.35,3.05,2.9,2.25,3,2.88,2.2,3,3.2
10,21/08/10,Lyon,Brest,H,1.4,4.5,7.5,1.37,4.25,8.75,1.35,4.33,9,1.35,4.5,7.3,1.29,4.5,8,1.33,4.33,8.5
10,21/08/10,Marseille,Lorient,H,1.62,3.4,6.5,1.55,3.75,5.9,1.57,3.5,6,1.65,3.5,4.6,1.5,3.5,6,1.6,3.6,5
10,21/08/10,Nice,Nancy,D,2.38,3,3.2,2.3,3.1,3.1,2.25,3,3.2,2.2,3,3.2,2.2,3,3,2.25,3,3.1
10,21/08/10,Rennes,St Etienne,D,1.75,3.3,5.25,1.7,3.4,5,1.73,3.25,5,1.65,3.5,4.6,1.62,3.3,5,1.65,3.4,5
10,21/08/10,Toulouse,Arles,H,1.62,3.6,6,1.57,3.5,6.25,1.6,3.4,6,1.55,3.7,5.4,1.53,3.5,5.5,1.67,3.4,4.75
10,22/08/10,Montpellier,Caen,D,2.1,3.1,3.75,2,3.1,3.9,2.05,3.1,3.6,2.05,3.1,3.5,1.91,3.2,3.5,1.95,3.1,3.75
10,22/08/10,Paris SG,Bordeaux,A,2.2,3.1,3.5,2.2,3.1,3.3,2.15,3.1,3.3,2.3,3.1,2.9,2.1,3,3.2,2.25,3.1,3
10,22/08/10,Sochaux,Lille,D,4,3.1,2.05,3.4,3.2,2.1,3.5,3.1,2.1,3.1,3.1,2.2,3.2,3,2.1,3.3,3.1,2.1
10,28/08/10,Arles,Rennes,A,3.25,3,2.38,3.2,3.1,2.25,3.2,3,2.25,2.9,3.1,2.3,3.2,3,2.1,2.9,3.1,2.3
10,28/08/10,Caen,Brest,A,1.91,3.25,4.33,1.9,3.2,4.15,1.9,3.1,4.15,1.85,3.3,3.9,1.83,3,4,1.9,3.2,3.8
10,28/08/10,Lorient,Lyon,H,3.25,3.1,2.3,3.2,3.1,2.25,3.1,3,2.3,3.1,3.1,2.2,3,3,2.2,2.9,3.1,2.3
10,28/08/10,Nancy,Toulouse,A,2.4,3,3.2,2.45,3,2.95,2.4,3,2.9,2.5,3.1,2.65,2.3,2.9,2.9,2.4,3.1,2.75
10,28/08/10,St Etienne,Lens,H,2.05,3.1,4,2,3.1,3.9,2,3.1,3.75,2,3.2,3.4,1.91,3.1,3.6,2,3.25,3.4
10,28/08/10,Valenciennes,Montpellier,A,2.2,3,3.6,2.15,3.1,3.4,2.2,3,3.3,2.25,3,3.1,2.1,3,3.2,2.2,3.1,3.1
10,29/08/10,Bordeaux,Marseille,D,2.4,3.1,3.1,2.4,3.25,2.8,2.4,3,2.9,2.3,3.1,2.9,2.3,2.9,2.9,2.4,3.1,2.75
10,29/08/10,Lille,Nice,D,1.5,3.75,7.5,1.5,3.75,6.75,1.55,3.6,6,1.6,3.4,5.4,1.53,3.5,5.5,1.5,3.6,6.5
10,29/08/10,Monaco,Auxerre,H,2.38,3,3.25,2.25,3,3.3,2.25,3,3.2,2.2,3,3.2,2.2,3,3,2.3,3.1,2.9
10,29/08/10,Sochaux,Paris SG,H,3.25,3.1,2.3,3.1,3.1,2.3,3.1,3,2.3,2.65,3.1,2.5,2.88,3,2.25,2.9,3.1,2.3
10,11/9/2010,Auxerre,Caen,D,2.05,3.1,4,1.95,3.1,4.1,1.95,3.1,4,2,3.2,3.4,1.91,3,3.75,1.9,3.1,4
10,11/9/2010,Lens,Lille,A,3.2,3,2.4,3,3.1,2.35,3,3,2.4,2.9,3,2.4,2.88,2.8,2.38,3,3,2.3
10,11/9/2010,Lyon,Valenciennes,D,1.53,3.75,7,1.5,3.75,6.75,1.5,3.75,6.5,1.5,3.8,5.7,1.44,3.75,6,1.44,3.75,7
10,11/9/2010,Montpellier,Nancy,A,1.85,3.2,4.75,1.91,3.1,4.25,1.95,3.1,4,1.9,3.1,4,1.91,3.1,3.6,1.9,3.1,4
10,11/9/2010,Paris SG,Arles,H,1.4,4.33,8.5,1.35,4.33,9.25,1.4,4,8,1.4,3.9,7.5,1.36,3.75,8,1.4,4,7.5
10,11/9/2010,Rennes,Sochaux,H,1.67,3.5,5.5,1.62,3.5,5.75,1.62,3.5,5.5,1.65,3.3,4.9,1.62,3.3,5,1.55,3.5,5.75
10,11/9/2010,Toulouse,St Etienne,A,1.8,3.25,5,1.75,3.25,5,1.8,3.25,4.5,1.75,3.3,4.4,1.73,3.2,4.33,1.7,3.3,4.75
10,12/9/2010,Brest,Lorient,D,2.5,3,3,2.55,3,2.8,2.5,3.1,2.75,2.4,3.1,2.8,2.38,3,2.75,2.5,3,2.7
10,12/9/2010,Marseille,Monaco,D,1.6,3.6,6,1.53,3.8,6,1.57,3.5,6,1.6,3.6,5,1.57,3.3,5.5,1.55,3.5,5.75
10,12/9/2010,Nice,Bordeaux,H,3.25,3.1,2.3,3.1,3.1,2.3,3.1,3,2.3,2.9,3.1,2.3,3,2.88,2.25,3,3.1,2.25
10,18/09/10,Arles,Marseille,A,5.25,3.6,1.67,5.9,3.5,1.6,5,3.75,1.6,4.4,3.5,1.7,4.5,3.5,1.62,5.2,3.5,1.6
10,18/09/10,Lorient,Caen,A,2.2,3,3.6,2.2,3,3.4,2.1,3.1,3.4,2.2,3.1,3.1,2,3,3.4,2.1,3,3.4
10,18/09/10,Monaco,Toulouse,D,2.3,3,3.4,2.4,2.95,3.1,2.35,3,3,2.3,3.1,2.9,2.25,2.88,3,2.35,3,2.9
10,18/09/10,Nancy,Brest,A,2,3.2,3.9,1.95,3.1,4.1,1.95,3.1,4,2,3.2,3.4,1.91,3,3.75,1.9,3.1,4
10,18/09/10,Sochaux,Nice,H,2.1,3.2,3.6,2.1,3.1,3.5,2.1,3.1,3.5,2.1,3.1,3.3,2,3,3.4,2.1,3.1,3.3
10,18/09/10,St Etienne,Montpellier,H,2.05,3.2,3.8,1.95,3.25,3.8,2,3.1,3.75,1.9,3.2,3.8,1.91,3.1,3.6,1.9,3.2,3.8
10,18/09/10,Valenciennes,Lens,D,2.1,3.1,3.4,2.1,3.2,3.4,2.1,3.1,3.5,2,3.2,3.4,2,3,3.4,2.1,3.1,3.3
10,19/09/10,Bordeaux,Lyon,H,2.55,3,2.9,2.55,3.1,2.75,2.5,3,2.8,2.4,3.1,2.8,2.5,2.8,2.75,2.5,3,2.7
10,19/09/10,Lille,Auxerre,H,1.85,3.25,4.6,1.85,3.2,4.4,1.8,3.2,4.5,1.8,3.2,4.4,1.8,3,4.33,1.8,3.2,4.33
10,19/09/10,Paris SG,Rennes,D,2.15,3.2,3.5,2,3.25,3.7,2.05,3.15,3.5,2,3.2,3.4,2,3,3.4,2.05,3.1,3.4
10,25/09/10,Auxerre,Nancy,D,2,3.2,4,1.91,3.1,4.25,1.95,3.1,4,2.1,3.1,3.3,1.83,3.2,3.75,1.9,3.1,4
10,25/09/10,Caen,Bordeaux,D,3,2.9,2.6,2.95,3.1,2.4,3,3,2.35,2.8,3.1,2.4,2.88,3,2.25,2.85,3,2.4
10,25/09/10,Lorient,Monaco,H,2.25,3,3.5,2.35,2.95,3.2,2.3,3,3.1,2.3,3,3,2.2,3,3,2.3,3,3
10,25/09/10,Lyon,St Etienne,A,1.7,3.4,5.5,1.75,3.3,4.75,1.65,3.4,5.25,1.6,3.5,5.2,1.67,3.3,4.5,1.65,3.5,4.75
10,25/09/10,Marseille,Sochaux,H,1.4,4.33,8.5,1.44,4.1,7,1.4,4,8,1.45,3.9,6.5,1.33,4.33,7,1.35,4.2,8
10,25/09/10,Montpellier,Arles,H,1.5,3.75,7.5,1.45,3.75,8,1.5,3.6,7,1.55,3.6,5.5,1.44,3.6,6.5,1.45,3.75,7
10,25/09/10,Nice,Rennes,A,2.75,2.9,2.8,2.65,3,2.7,2.5,3,2.8,2.5,3,2.75,2.5,3,2.6,2.5,3,2.7
10,26/09/10,Brest,Valenciennes,H,2.3,3.1,3.25,2.55,3,2.8,2.4,3,3,2.3,3,3,2.38,2.88,2.8,2.4,3,2.85
10,26/09/10,Lens,Paris SG,A,3,3,2.5,3,3.1,2.35,3,3,2.4,2.7,3.1,2.5,2.9,2.9,2.3,3,3,2.3
10,26/09/10,Toulouse,Lille,D,2.75,3,2.7,2.65,3.1,2.65,2.6,3,2.7,2.5,3.1,2.7,2.5,3,2.6,2.5,3,2.7
10,2/10/2010,Arles,Auxerre,A,3.9,3.2,2,4.1,3.2,1.91,3.75,3.1,2,3.3,3.1,2.1,3.6,3.1,1.91,3.6,3.2,1.95
10,2/10/2010,Bordeaux,Lorient,H,1.75,3.4,5,1.78,3.3,4.6,1.75,3.25,4.75,1.75,3.3,4.5,1.73,3.2,4.33,1.75,3.25,4.5
10,2/10/2010,Monaco,Brest,A,1.91,3.2,4.33,1.88,3.2,4.25,1.95,3.1,4,1.85,3.25,4,1.83,3,4,1.85,3.1,4.2
10,2/10/2010,Nancy,Lyon,A,3.5,3.1,2.2,3.3,3.1,2.2,3.1,3,2.3,3.1,3.1,2.2,3,3,2.2,3.2,3.1,2.15
10,2/10/2010,Sochaux,Lens,H,2.1,3.2,3.6,2.1,3.1,3.5,2.1,3.1,3.5,2,3.2,3.4,2,3,3.4,2.05,3,3.6
10,2/10/2010,St Etienne,Marseille,D,2.88,3.2,2.45,2.95,3.3,2.3,2.75,3.1,2.5,2.8,3.2,2.3,2.88,3,2.25,2.85,3.1,2.35
10,2/10/2010,Valenciennes,Caen,H,2.2,3.1,3.5,2.2,3,3.4,2.2,3,3.3,2.2,3.1,3.1,2.1,3,3.2,2.2,3.1,3.1
10,3/10/2010,Lille,Montpellier,H,1.7,3.4,5.25,1.7,3.4,5,1.7,3.3,5,1.75,3.3,4.5,1.67,3.3,4.5,1.7,3.3,4.75
10,3/10/2010,Paris SG,Nice,D,1.62,3.6,6,1.6,3.5,6,1.62,3.4,5.75,1.7,3.4,4.6,1.57,3.5,5,1.57,3.5,5.5
10,3/10/2010,Rennes,Toulouse,H,2,3.1,4.1,1.91,3.2,4.1,1.95,3.1,4,1.95,3.2,3.7,1.91,3,3.75,1.9,3.1,4
10,16/10/10,Auxerre,Bordeaux,A,2.5,3,3,2.65,3.1,2.85,2.5,3,2.8,2.6,3,2.6,2.5,2.8,2.75,2.45,3,2.8
10,16/10/10,Brest,Arles,D,1.57,3.6,6.5,1.53,3.6,6.75,1.53,3.6,6.5,1.6,3.5,5.2,1.5,3.6,5.5,1.5,3.6,6.5
10,16/10/10,Caen,Monaco,D,2.25,3,3.5,2.25,3,3.3,2.2,3.1,3.25,2.3,3,3,2.25,2.88,3,2.25,3,3.1
10,16/10/10,Marseille,Nancy,H,1.44,4.2,7.5,1.4,4.2,7.75,1.42,4,7.5,1.4,3.9,7.5,1.4,3.75,7,1.4,4,7.5
10,16/10/10,Montpellier,Sochaux,H,2,3.2,4,2,3.2,3.75,2.05,3.1,3.6,2.1,3,3.4,2,3,3.4,2,3.2,3.5
10,16/10/10,Toulouse,Paris SG,A,2.75,3,2.75,2.65,2.95,2.75,2.6,3,2.7,2.6,3,2.6,2.6,2.8,2.6,2.5,3,2.7
10,17/10/10,Lens,Rennes,D,3.2,3,2.4,3.2,3.15,2.2,3.1,3,2.3,2.9,3.1,2.3,3,3,2.2,3,3,2.3
10,17/10/10,Lorient,Valenciennes,H,2,3.2,4,2,3.1,3.9,2,3.1,3.75,2.1,3,3.4,1.91,3,3.75,2,3.1,3.6
10,17/10/10,Lyon,Lille,H,2.1,3.2,3.6,2.1,3.2,3.8,2.1,3.1,3.5,2.2,3.1,3.1,2,3,3.4,2,3.1,3.6
10,17/10/10,Nice,St Etienne,H,2.8,3,2.7,2.75,3,2.6,2.7,3,2.6,2.6,3,2.6,2.6,3,2.5,2.6,3,2.6
10,23/10/10,Bordeaux,Brest,A,1.6,3.6,6,1.53,3.6,6.75,1.55,3.5,6.25,1.6,3.5,5.2,1.5,3.6,5.5,1.57,3.4,6
10,23/10/10,Lens,Nice,H,2.15,3.1,3.6,2.15,3.1,3.4,2.15,3.1,3.3,2.2,3.1,3.1,2.2,3,3,2.15,3.1,3.2
10,23/10/10,Monaco,Valenciennes,A,2,3.2,3.9,1.95,3.1,4.1,1.95,3.1,4,1.9,3.2,3.8,1.91,3,3.75,1.9,3.1,4
10,23/10/10,Nancy,Lorient,H,2.35,3,3.25,2.3,3.1,3.1,2.25,3,3.2,2.2,3,3.2,2.2,3,3,2.2,3,3.2
10,23/10/10,Rennes,Montpellier,A,1.83,3.3,4.6,1.8,3.25,4.6,1.8,3.2,4.5,1.8,3.3,4.2,1.73,3.2,4.33,1.8,3.2,4.33
10,23/10/10,Sochaux,Toulouse,A,2.25,3,3.5,2.4,3,3.05,2.35,3,3,2.3,3,3,2.25,3,2.88,2.3,3,3
10,23/10/10,St Etienne,Caen,D,1.8,3.3,4.75,1.75,3.3,4.75,1.8,3.25,4.5,1.8,3.3,4.2,1.7,3.2,4.5,1.85,3.1,4.2
10,24/10/10,Arles,Lyon,D,7,4,1.5,6.75,3.6,1.53,6.25,3.5,1.55,5.7,3.8,1.5,5.5,3.6,1.5,7,3.75,1.45
10,24/10/10,Lille,Marseille,A,2.5,3.1,2.9,2.55,3.2,2.7,2.45,3,2.9,2.6,3,2.6,2.38,3,2.75,2.4,3,2.85
10,24/10/10,Paris SG,Auxerre,A,1.75,3.4,5,1.75,3.3,4.75,1.75,3.25,4.75,1.7,3.4,4.6,1.73,3.2,4.33,1.7,3.3,4.75
10,30/10/10,Auxerre,Nice,H,1.95,3.1,4.33,1.88,3.2,4.25,1.9,3.2,4,1.9,3.15,3.9,1.91,3,3.75,1.85,3.2,4
10,30/10/10,Brest,St Etienne,H,2.63,2.88,3,2.65,3,2.7,2.65,3,2.65,2.5,3.1,2.65,2.6,3,2.5,2.55,3,2.65
10,30/10/10,Caen,Nancy,A,2.05,3,4,2.05,3.1,3.7,2.05,3.1,3.6,2,3.1,3.5,2,3,3.4,2,3.1,3.6
10,30/10/10,Lorient,Arles,H,1.5,4,6.5,1.55,3.6,6.5,1.5,3.75,6.5,1.55,3.6,5.5,1.5,3.6,5.5,1.5,3.6,6.5
10,30/10/10,Lyon,Sochaux,H,1.5,4,6.5,1.53,3.75,6.25,1.5,3.75,6.5,1.45,3.9,6.5,1.5,3.5,6,1.44,3.6,7.5
10,30/10/10,Toulouse,Lens,D,1.75,3.3,5.25,1.72,3.3,5,1.73,3.3,5,1.7,3.4,4.5,1.67,3.3,4.5,1.67,3.3,5
10,31/10/10,Montpellier,Paris SG,D,2.6,2.9,3,2.5,3.2,2.95,2.5,3,2.8,2.5,3,2.7,2.4,2.88,2.75,2.35,3,2.9
10,31/10/10,Valenciennes,Lille,D,3.4,3,2.3,2.9,3.1,2.45,3,3,2.4,2.7,3,2.5,2.9,2.9,2.3,2.9,3,2.35
10,2/11/2010,Monaco,Bordeaux,D,2.8,2.9,2.75,2.6,2.9,2.85,2.65,2.9,2.75,2.65,3,2.55,2.5,2.88,2.62,2.6,2.9,2.7
10,6/11/2010,Arles,Caen,H,3.25,3,2.38,3.2,3,2.3,3,3,2.35,2.9,3,2.4,3,2.88,2.25,3,3,2.3
10,6/11/2010,Bordeaux,Valenciennes,D,1.73,3.3,5.5,1.65,3.3,5.75,1.7,3.3,5,1.7,3.4,4.5,1.62,3.25,5,1.65,3.4,5
10,6/11/2010,Rennes,Lyon,D,2.7,3,2.8,2.65,3.1,2.65,2.6,3,2.7,2.6,3.1,2.6,2.5,3,2.6,2.5,2.9,2.8
10,6/11/2010,Sochaux,Auxerre,D,2.25,3,3.5,2.15,3.1,3.4,2.15,3,3.5,2.2,3.1,3.1,2.1,3,3.2,2.1,3,3.4
10,6/11/2010,St Etienne,Lorient,A,1.91,3.25,4.33,1.95,3.2,3.9,1.9,3.2,4,1.9,3.2,3.8,1.91,3,3.75,1.9,3.2,3.8
10,7/11/2010,Lens,Montpellier,H,2.38,3,3.25,2.3,3.1,3.1,2.4,3,3,2.3,3,3,2.38,2.88,2.8,2.3,3,3
10,7/11/2010,Lille,Brest,H,1.67,3.5,5.5,1.65,3.4,5.5,1.67,3.4,5.25,1.75,3.3,4.4,1.62,3.25,5,1.65,3.4,5
10,7/11/2010,Nancy,Monaco,A,2.2,3,3.6,2.1,3.1,3.5,2.15,3.1,3.3,2.2,3.1,3.1,2.2,2.8,3.2,2.1,3,3.4
10,7/11/2010,Nice,Toulouse,H,2.6,3,2.9,2.45,3,2.95,2.5,2.9,2.9,2.4,3.05,2.85,2.38,2.88,2.8,2.4,3,2.85
10,7/11/2010,Paris SG,Marseille,H,2.5,3.1,2.9,2.5,3.1,2.8,2.5,3.1,2.75,2.4,3.1,2.8,2.4,2.88,2.75,2.4,3,2.85
10,13/11/10,Bordeaux,Nancy,H,1.75,3.3,5.25,1.7,3.3,5.25,1.7,3.3,5,1.75,3.4,4.3,1.67,3.3,4.5,1.7,3.3,4.75
10,13/11/10,Brest,Sochaux,D,2,3.2,4,2.05,3,3.9,2.05,3,3.75,1.9,3.2,3.8,2,3,3.4,2,3.1,3.6
10,13/11/10,Caen,Lille,A,3.5,3,2.25,3.3,3.2,2.15,3.2,3.1,2.2,3.3,3.1,2.1,3,2.88,2.25,3.1,3.2,2.15
10,13/11/10,Marseille,Lens,D,1.4,4.2,9,1.37,4.25,8.75,1.4,4,8,1.45,3.9,6.5,1.36,4,7,1.36,4,8.5
10,13/11/10,Monaco,Arles,D,1.53,3.6,7.5,1.5,3.7,7,1.55,3.6,6,1.55,3.6,5.6,1.53,3.5,5.5,1.5,3.75,6
10,13/11/10,Montpellier,Toulouse,H,2.05,3.2,3.8,2.05,3.1,3.7,2.05,3,3.75,2.2,3.1,3.1,2,3,3.4,2.05,3.1,3.4
10,14/11/10,Auxerre,Rennes,H,2.4,3,3.2,2.45,2.9,3.1,2.35,3,3,2.3,3.1,2.9,2.38,2.88,2.8,2.4,3,2.85
10,14/11/10,Lorient,Paris SG,D,3,3,2.5,2.7,3.1,2.6,2.7,3,2.6,2.65,3.1,2.5,2.6,3,2.5,2.7,2.9,2.6
10,14/11/10,Lyon,Nice,H,1.36,4.5,9,1.37,4.2,9,1.4,4,8,1.4,3.9,7.5,1.33,4,8,1.36,4,8.5
10,20/11/10,Nancy,Valenciennes,H,2.15,3.1,3.6,2.15,3.1,3.4,2.15,3,3.4,2.2,3,3.2,2.1,2.88,3.3,2.15,3,3.3
